sequence_id,mixture_id,x_H2,x_CH4,x_CO2,x_N2,T_C_base,P_MPa_base,H_RH_base,L_m_base,status
Q000001,M000001,4.751385,82.469153,10.291980,2.487482,27.7885,0.1152,36.5018,0.2223,synthetic_measurement
Q000002,M000002,21.911769,55.222645,14.256027,8.609559,29.7294,0.5121,73.5308,0.2087,synthetic_measurement
Q000003,M000003,1.939564,85.946528,1.751394,10.362514,23.4384,0.1181,33.1183,0.2505,synthetic_measurement
Q000004,M000004,9.038797,78.216446,12.677196,0.067561,15.5307,0.2211,58.9931,0.2545,synthetic_measurement
Q000005,M000005,29.709757,55.372056,0.806937,14.111250,19.4088,0.4589,68.5658,0.2006,synthetic_measurement
Q000006,M000006,28.954086,46.473068,13.917692,10.655154,31.1164,0.5252,40.4150,0.2155,synthetic_measurement
Q000007,M000007,0.484547,84.757224,8.186659,6.571570,34.1443,0.3050,25.5648,0.2097,synthetic_measurement
Q000008,M000008,17.752062,61.396530,5.815700,15.035708,31.9499,0.4677,68.4277,0.2730,synthetic_measurement
Q000009,M000009,0.626324,83.994853,11.702923,3.675900,25.7246,0.6926,42.7121,0.2552,synthetic_measurement
Q000010,M000010,5.944823,86.046706,3.222123,4.786348,31.5881,0.4767,71.7024,0.2577,synthetic_measurement
Q000011,M000011,25.520813,69.144126,3.491698,1.843363,29.0914,0.1279,33.6739,0.2289,synthetic_measurement
Q000012,M000012,23.771022,49.845062,7.708398,18.675518,16.5958,0.2418,26.0601,0.2278,synthetic_measurement
Q000013,M000013,17.221306,59.923931,6.794741,16.060022,27.7137,0.3222,42.2109,0.2210,synthetic_measurement
Q000014,M000014,13.101112,76.057784,9.649425,1.191679,20.3396,0.6704,58.8821,0.2609,synthetic_measurement
Q000015,M000015,7.516076,62.412713,13.559036,16.512175,18.4228,0.5440,29.8041,0.2379,synthetic_measurement
Q000016,M000016,14.889011,70.739184,10.528536,3.843269,34.7905,0.4898,53.4170,0.2685,synthetic_measurement
Q000017,M000017,0.444502,84.482085,2.773713,12.299700,31.8570,0.5726,33.7429,0.2032,synthetic_measurement
Q000018,M000018,25.145760,54.454650,12.369297,8.030293,21.3091,0.2631,32.6590,0.2943,synthetic_measurement
Q000019,M000019,29.726837,67.359039,0.073555,2.840569,32.5274,0.2916,59.3263,0.2396,synthetic_measurement
Q000020,M000020,26.285316,58.942336,5.249377,9.522971,33.2910,0.3794,35.8928,0.2247,synthetic_measurement
Q000021,M000021,19.202767,60.444270,7.349085,13.003878,26.2274,0.2600,55.0752,0.2898,synthetic_measurement
Q000022,M000022,28.375843,50.782625,1.220598,19.620934,22.9880,0.2336,79.8523,0.2510,synthetic_measurement
Q000023,M000023,2.145926,87.377130,4.744305,5.732639,16.8182,0.1287,26.5789,0.2627,synthetic_measurement
Q000024,M000024,15.674283,62.352338,4.161239,17.812140,30.8416,0.3571,23.8117,0.2382,synthetic_measurement
Q000025,M000025,9.750688,73.739760,1.930849,14.578703,34.9224,0.4222,78.2647,0.2861,synthetic_measurement
Q000026,M000026,1.463184,82.792324,4.298891,11.445601,15.2296,0.5389,60.9026,0.2537,synthetic_measurement
Q000027,M000027,26.224799,49.213219,11.061674,13.500308,20.3365,0.4903,26.6931,0.2435,synthetic_measurement
Q000028,M000028,21.045076,57.269189,14.586689,7.099046,24.0745,0.6809,72.5512,0.2263,synthetic_measurement
Q000029,M000029,27.056807,47.576616,6.326868,19.039709,25.0117,0.2088,74.7577,0.2871,synthetic_measurement
Q000030,M000030,11.385545,71.264709,11.861917,5.487829,20.9689,0.4891,56.5382,0.2153,synthetic_measurement
Q000031,M000031,3.044284,71.066141,8.800934,17.088641,30.2502,0.4285,66.7176,0.2530,synthetic_measurement
Q000032,M000032,2.898528,79.104192,9.243046,8.754234,15.0114,0.2974,21.1686,0.2929,synthetic_measurement
