sequence_id,mixture_id,stage_profile,status,n_timesteps,dt_s
Q000001,M000001,standard_exposure,synthetic_measurement,128,0.5
Q000002,M000002,standard_exposure,synthetic_measurement,128,0.5
Q000003,M000003,standard_exposure,synthetic_measurement,128,0.5
Q000004,M000004,standard_exposure,synthetic_measurement,128,0.5
Q000005,M000005,standard_exposure,synthetic_measurement,128,0.5
Q000006,M000006,standard_exposure,synthetic_measurement,128,0.5
Q000007,M000007,standard_exposure,synthetic_measurement,128,0.5
Q000008,M000008,standard_exposure,synthetic_measurement,128,0.5
Q000009,M000009,standard_exposure,synthetic_measurement,128,0.5
Q000010,M000010,standard_exposure,synthetic_measurement,128,0.5
Q000011,M000011,standard_exposure,synthetic_measurement,128,0.5
Q000012,M000012,standard_exposure,synthetic_measurement,128,0.5
Q000013,M000013,standard_exposure,synthetic_measurement,128,0.5
Q000014,M000014,standard_exposure,synthetic_measurement,128,0.5
Q000015,M000015,standard_exposure,synthetic_measurement,128,0.5
Q000016,M000016,standard_exposure,synthetic_measurement,128,0.5
Q000017,M000017,standard_exposure,synthetic_measurement,128,0.5
Q000018,M000018,standard_exposure,synthetic_measurement,128,0.5
Q000019,M000019,standard_exposure,synthetic_measurement,128,0.5
Q000020,M000020,standard_exposure,synthetic_measurement,128,0.5
Q000021,M000021,standard_exposure,synthetic_measurement,128,0.5
Q000022,M000022,standard_exposure,synthetic_measurement,128,0.5
Q000023,M000023,standard_exposure,synthetic_measurement,128,0.5
Q000024,M000024,standard_exposure,synthetic_measurement,128,0.5
Q000025,M000025,standard_exposure,synthetic_measurement,128,0.5
Q000026,M000026,standard_exposure,synthetic_measurement,128,0.5
Q000027,M000027,standard_exposure,synthetic_measurement,128,0.5
Q000028,M000028,standard_exposure,synthetic_measurement,128,0.5
Q000029,M000029,standard_exposure,synthetic_measurement,128,0.5
Q000030,M000030,standard_exposure,synthetic_measurement,128,0.5
Q000031,M000031,standard_exposure,synthetic_measurement,128,0.5
Q000032,M000032,standard_exposure,synthetic_measurement,128,0.5
