sequence_id,x_H2,x_CH4,x_CO2,x_N2
Q000001,4.751385,82.469153,10.291980,2.487482
Q000002,21.911769,55.222645,14.256027,8.609559
Q000003,1.939564,85.946528,1.751394,10.362514
Q000004,9.038797,78.216446,12.677196,0.067561
Q000005,29.709757,55.372056,0.806937,14.111250
Q000006,28.954086,46.473068,13.917692,10.655154
Q000007,0.484547,84.757224,8.186659,6.571570
Q000008,17.752062,61.396530,5.815700,15.035708
Q000009,0.626324,83.994853,11.702923,3.675900
Q000010,5.944823,86.046706,3.222123,4.786348
Q000011,25.520813,69.144126,3.491698,1.843363
Q000012,23.771022,49.845062,7.708398,18.675518
Q000013,17.221306,59.923931,6.794741,16.060022
Q000014,13.101112,76.057784,9.649425,1.191679
Q000015,7.516076,62.412713,13.559036,16.512175
Q000016,14.889011,70.739184,10.528536,3.843269
Q000017,0.444502,84.482085,2.773713,12.299700
Q000018,25.145760,54.454650,12.369297,8.030293
Q000019,29.726837,67.359039,0.073555,2.840569
Q000020,26.285316,58.942336,5.249377,9.522971
Q000021,19.202767,60.444270,7.349085,13.003878
Q000022,28.375843,50.782625,1.220598,19.620934
Q000023,2.145926,87.377130,4.744305,5.732639
Q000024,15.674283,62.352338,4.161239,17.812140
Q000025,9.750688,73.739760,1.930849,14.578703
Q000026,1.463184,82.792324,4.298891,11.445601
Q000027,26.224799,49.213219,11.061674,13.500308
Q000028,21.045076,57.269189,14.586689,7.099046
Q000029,27.056807,47.576616,6.326868,19.039709
Q000030,11.385545,71.264709,11.861917,5.487829
Q000031,3.044284,71.066141,8.800934,17.088641
Q000032,2.898528,79.104192,9.243046,8.754234
