kind,run_name,model,split,loss,mae,rmse,r2,x_n2_r2,aitchison_mean,sum_abs_error,checkpoint_path
ml,ridge_slow,ridge,train,,3.7991357558599255,4.941005388740395,0.6831319249800563,0.02582761917148202,,,
ml,ridge_slow,ridge,val,,3.8614685989056143,5.054736233529099,0.6657651115298129,0.025614214440277228,,,
ml,ridge_slow,ridge,test,,3.9384413227815336,5.149995114500941,0.6599408191055771,0.021443905119415185,,,
ml,ridge_slow,ridge,extrapolation,,3.999040412288159,5.2641592171889275,0.6406136155286323,-0.008963986003279967,,,
ml,ridge_all_modalities,ridge,train,,2.582798153040667,3.875643515488795,0.8050445064658869,0.24334487874072763,,,
ml,ridge_all_modalities,ridge,val,,2.621623431842826,3.930793164425509,0.7978772637315165,0.23149794321770534,,,
ml,ridge_all_modalities,ridge,test,,2.650241662857394,3.981043428436567,0.7967948545218538,0.21733758622178945,,,
ml,ridge_all_modalities,ridge,extrapolation,,2.6286389861657518,3.9603905646595,0.7965865707500606,0.22727220685486604,,,
ml,ridge_alr_ch4_all_modalities,ridge,train,,3.4084966847032496,4.75048440142347,0.7070971326355943,0.11538971519499008,0.730169951915741,,
ml,ridge_alr_ch4_all_modalities,ridge,val,,3.602671359817161,4.983172345149388,0.6751621704576845,0.06342331171662108,0.7457239031791687,,
ml,ridge_alr_ch4_all_modalities,ridge,test,,3.380424497273052,4.736911040232961,0.7123056534558043,0.10576247081538426,0.7048540115356445,,
ml,ridge_alr_ch4_all_modalities,ridge,extrapolation,,3.5690372009109708,4.9785961887389245,0.6785470677260111,0.1221562885137717,0.7408773899078369,,
ml,ridge_ilr_n2_first_all_modalities,ridge,train,,3.408496842463196,4.750484523936673,0.7070971175278848,0.11538965843944804,0.730169951915741,,
ml,ridge_ilr_n2_first_all_modalities,ridge,val,,3.6026715161489684,4.983172436789024,0.6751621585102667,0.06342328337836267,0.7457239031791687,,
ml,ridge_ilr_n2_first_all_modalities,ridge,test,,3.380424488093316,4.736911051911256,0.7123056520372515,0.10576245570210485,0.7048539519309998,,
ml,ridge_ilr_n2_first_all_modalities,ridge,extrapolation,,3.569037153786048,4.978596119171415,0.6785470767095394,0.12215623251280294,0.7408773899078369,,
ml,dynamic_stacking_svr_all_modalities,dynamic_stacking_svr,train,,2.5434074035796193,3.7315342334385297,0.8192731450786115,0.32547984504913696,,,
ml,dynamic_stacking_svr_all_modalities,dynamic_stacking_svr,val,,3.389069905388298,4.794952416135299,0.6992377064261843,-0.06893548213214817,,,
ml,dynamic_stacking_svr_all_modalities,dynamic_stacking_svr,test,,3.4945743593150596,5.070484009686607,0.670360152000585,-0.15207943312225813,,,
ml,dynamic_stacking_svr_all_modalities,dynamic_stacking_svr,extrapolation,,3.5049698771346205,5.041533415382258,0.6703683630304953,-0.10159688620212948,,,
dl,cnn1d,cnn1d,val,61.92695236206055,6.423765182495117,7.864914417266846,0.19082438945770264,-0.02445399761199951,,8.890625,outputs/runs/formal_full/cnn1d/checkpoint.pt
dl,cnn1d,cnn1d,test,63.49271262319464,6.497366428375244,7.981837749481201,0.18314188718795776,-0.0330580472946167,,9.0234375,outputs/runs/formal_full/cnn1d/checkpoint.pt
dl,cnn1d,cnn1d,extrapolation,63.76200485229492,6.522213935852051,7.9899678230285645,0.17207002639770508,0.004531919956207275,,9.09375,outputs/runs/formal_full/cnn1d/checkpoint.pt
dl,tcn,tcn,val,28.896285843430903,4.151607990264893,5.381320476531982,0.6211804151535034,-0.0238875150680542,,2.775390625,outputs/runs/formal_full/tcn/checkpoint.pt
dl,tcn,tcn,test,30.96962211006566,4.289005756378174,5.579615116119385,0.6008378267288208,-0.060105085372924805,,2.59375,outputs/runs/formal_full/tcn/checkpoint.pt
dl,tcn,tcn,extrapolation,29.520231949655635,4.181365966796875,5.446114540100098,0.6153399348258972,-0.03330528736114502,,2.59375,outputs/runs/formal_full/tcn/checkpoint.pt
dl,lstm,lstm,val,73.36083823756168,6.724668979644775,8.576803207397461,0.037710726261138916,-0.01747739315032959,,2.099609375,outputs/runs/formal_full/lstm/checkpoint.pt
dl,lstm,lstm,test,74.74146110133121,6.786984443664551,8.66430377960205,0.03748345375061035,-0.009846329689025879,,2.142578125,outputs/runs/formal_full/lstm/checkpoint.pt
dl,lstm,lstm,extrapolation,75.1627177188271,6.801312446594238,8.687005996704102,0.021313071250915527,-0.012805342674255371,,2.08203125,outputs/runs/formal_full/lstm/checkpoint.pt
dl,transformer,transformer,val,53.87763501886736,5.776959419250488,7.349941730499268,0.2933204174041748,-0.0008387565612792969,,2.548828125,outputs/runs/formal_full/transformer/checkpoint.pt
dl,transformer,transformer,test,55.90556651667545,5.891555309295654,7.497651100158691,0.27923887968063354,-0.022080659866333008,,2.525390625,outputs/runs/formal_full/transformer/checkpoint.pt
dl,transformer,transformer,extrapolation,52.55001429507607,5.709006309509277,7.259305953979492,0.3165704607963562,-0.014926552772521973,,2.474609375,outputs/runs/formal_full/transformer/checkpoint.pt
dl,patchtst,patchtst,val,nan,nan,nan,nan,nan,,nan,outputs/runs/formal_full/patchtst/checkpoint.pt
dl,patchtst,patchtst,test,nan,nan,nan,nan,nan,,nan,outputs/runs/formal_full/patchtst/checkpoint.pt
dl,patchtst,patchtst,extrapolation,nan,nan,nan,nan,nan,,nan,outputs/runs/formal_full/patchtst/checkpoint.pt
dl,cnn1d_tcn_fusion,cnn1d_tcn_fusion,val,22.497950537162914,3.5585145950317383,4.73896598815918,0.7062202095985413,-0.007905960083007812,,1.8564860511105508e-06,outputs/runs/formal_full/cnn1d_tcn_fusion/checkpoint.pt
dl,cnn1d_tcn_fusion,cnn1d_tcn_fusion,test,22.201012561195775,3.491201639175415,4.724581718444824,0.713801383972168,-0.007450699806213379,,1.945495569088962e-06,outputs/runs/formal_full/cnn1d_tcn_fusion/checkpoint.pt
dl,cnn1d_tcn_fusion,cnn1d_tcn_fusion,extrapolation,21.71190522846423,3.490669012069702,4.664549350738525,0.7178220748901367,0.0008404254913330078,,1.7038980786310276e-06,outputs/runs/formal_full/cnn1d_tcn_fusion/checkpoint.pt
dl,cnn1d_tcn_fusion_ilr,cnn1d_tcn_fusion,val,0.30106022770990404,3.5835671424865723,5.125387668609619,0.6563564538955688,-0.11111712455749512,0.7529215216636658,2.5516085315757664e-06,outputs/runs/formal_full/cnn1d_tcn_fusion_ilr/checkpoint.pt
dl,cnn1d_tcn_fusion_ilr,cnn1d_tcn_fusion,test,0.27390651248003306,3.566009998321533,5.127155303955078,0.6629503965377808,-0.09158515930175781,0.7375281453132629,2.3523966774519067e-06,outputs/runs/formal_full/cnn1d_tcn_fusion_ilr/checkpoint.pt
dl,cnn1d_tcn_fusion_ilr,cnn1d_tcn_fusion,extrapolation,0.3128311053702706,3.489428758621216,4.981271743774414,0.67820143699646,-0.0326380729675293,0.760272741317749,2.4668374862812925e-06,outputs/runs/formal_full/cnn1d_tcn_fusion_ilr/checkpoint.pt
