stage,feature_set,feature_count,o2_r2_val,o2_r2_test,o2_r2_extrapolation,parity_passed_test,delta_o2_vs_control_test
E1d-0,full_b1,1008,0.428,0.4786,0.3695,True,0.0
E1d-1,e1r_sequence_embedding,288,0.0137,0.0316,0.0004,False,-0.447
E1d-1,e1r_peak_lmm,507,0.0682,0.1048,0.0219,False,-0.3738
E1d-1,e1r_peak_b1_windows,576,0.1446,0.202,0.1285,False,-0.2766
E1d-1,peak_lmm,507,0.0699,0.1031,0.0195,False,-0.3754
E1d-1,peak_stats7,511,0.1241,0.1883,0.1209,False,-0.2903
E1d-1,peak_stats7_phase,539,0.1414,0.2048,0.1234,False,-0.2738
E1d-1,peak_b1_windows,576,0.145,0.2026,0.1301,False,-0.276
E1d-2,peak_phase_plus_delay,540,0.1287,0.206,0.1251,False,-0.2725
E1d-2,peak_phase_plus_delay_tof_corr,575,0.1286,0.206,0.1251,False,-0.2726
E1d-2,peak_phase_plus_delay_tof_corr_tofl,577,0.1314,0.2042,0.1264,False,-0.2744
E1d-2,peak_phase_plus_calibration_sound,612,0.1393,0.205,0.13,False,-0.2736
E1d-3,cal_plus_corr_peak,647,0.129,0.195,0.1201,False,-0.2836
E1d-3,cal_plus_corr_psr,682,0.1214,0.2051,0.1252,False,-0.2735
E1d-3,cal_plus_corr_psr_snr,717,0.3931,0.4525,0.3688,True,-0.0261
E1d-3,cal_plus_quality_width,752,0.3901,0.4512,0.3599,True,-0.0274
E1d-3,cal_plus_quality_full,822,0.4326,0.4814,0.3714,True,0.0028
E1d-3,b1_arrays_without_tof_observed,936,0.4284,0.4783,0.3698,True,-0.0003
