arm,jitter_us,t_prior_k,max_p90_vol_percent,median_p90_vol_percent,min_joint_rank
obs-cfreq,3.0,1.0,6.161,5.3889,3
obs-cfreq,1.0,1.0,4.6307,4.3051,3
obs-cfreq,0.5,1.0,4.4563,4.1662,3
obs-cfreq,0.2,1.0,4.3777,4.0673,3
obs-cfreq,0.1,1.0,4.2717,3.8896,3
obs-cfreq,0.05,1.0,4.0111,3.4448,3
obs-cfreq,0.02,1.0,3.4178,2.5012,3
obs-cfreq,0.01,1.0,2.9282,1.9596,3
obs-cfreq,3.0,0.5,5.0141,4.1308,3
obs-cfreq,1.0,0.5,2.8464,2.5218,3
obs-cfreq,0.5,0.5,2.5598,2.3277,3
obs-cfreq,0.2,0.5,2.4705,2.2677,3
obs-cfreq,0.1,0.5,2.4466,2.2321,3
obs-cfreq,0.05,0.5,2.4034,2.1626,3
obs-cfreq,0.02,0.5,2.2588,1.9084,3
obs-cfreq,0.01,0.5,2.1441,1.6809,3
obs-cfreq,3.0,0.2,4.6802,3.7057,3
obs-cfreq,1.0,0.2,2.0933,1.7338,3
obs-cfreq,0.5,0.2,1.6783,1.4137,3
obs-cfreq,0.2,0.2,1.5438,1.3109,3
obs-cfreq,0.1,0.2,1.5232,1.2937,3
obs-cfreq,0.05,0.2,1.5165,1.2861,3
obs-cfreq,0.02,0.2,1.5069,1.2601,3
obs-cfreq,0.01,0.2,1.4909,1.2419,3
obs-cfreq,3.0,0.1,4.6306,3.6428,3
obs-cfreq,1.0,0.1,1.9798,1.5905,3
obs-cfreq,0.5,0.1,1.5109,1.2336,3
obs-cfreq,0.2,0.1,1.36,1.1141,3
obs-cfreq,0.1,0.1,1.3369,1.0957,3
obs-cfreq,0.05,0.1,1.3309,1.0888,3
obs-cfreq,0.02,0.1,1.3275,1.0809,3
obs-cfreq,0.01,0.1,1.3211,1.0734,3
obs-calpha,3.0,1.0,5.7029,3.7861,4
obs-calpha,1.0,1.0,4.2971,3.0967,4
obs-calpha,0.5,1.0,4.1346,3.0001,4
obs-calpha,0.2,1.0,4.0767,2.9571,4
obs-calpha,0.1,1.0,4.0299,2.9047,4
obs-calpha,0.05,1.0,3.8893,2.7715,4
obs-calpha,0.02,1.0,3.3847,2.2446,3
obs-calpha,0.01,1.0,2.9244,1.9143,3
obs-calpha,3.0,0.5,4.7804,3.4911,4
obs-calpha,1.0,0.5,2.7902,2.339,4
obs-calpha,0.5,0.5,2.5125,2.1353,4
obs-calpha,0.2,0.5,2.4262,2.0929,4
obs-calpha,0.1,0.5,2.4048,2.0693,4
obs-calpha,0.05,0.5,2.3689,2.0073,4
obs-calpha,0.02,0.5,2.2532,1.8169,3
obs-calpha,0.01,0.5,2.1431,1.673,3
obs-calpha,3.0,0.2,4.4669,3.0606,4
obs-calpha,1.0,0.2,2.082,1.6949,4
obs-calpha,0.5,0.2,1.6756,1.3883,4
obs-calpha,0.2,0.2,1.542,1.2895,4
obs-calpha,0.1,0.2,1.5215,1.2739,4
obs-calpha,0.05,0.2,1.515,1.2664,4
obs-calpha,0.02,0.2,1.5061,1.2533,3
obs-calpha,0.01,0.2,1.4906,1.2416,3
obs-calpha,3.0,0.1,4.418,3.0461,4
obs-calpha,1.0,0.1,1.9537,1.5583,4
obs-calpha,0.5,0.1,1.5103,1.2215,4
obs-calpha,0.2,0.1,1.3598,1.1058,4
obs-calpha,0.1,0.1,1.3368,1.088,4
obs-calpha,0.05,0.1,1.3307,1.0831,4
obs-calpha,0.02,0.1,1.3273,1.0795,3
obs-calpha,0.01,0.1,1.321,1.0722,3
obs-rh-diff,3.0,1.0,4.4673,2.7765,5
obs-rh-diff,1.0,1.0,3.7975,2.3554,5
obs-rh-diff,0.5,1.0,3.7225,2.3176,4
obs-rh-diff,0.2,1.0,3.6813,2.2951,4
obs-rh-diff,0.1,1.0,3.6092,2.2632,4
obs-rh-diff,0.05,1.0,3.3884,2.1617,4
obs-rh-diff,0.02,1.0,2.7532,1.8078,4
obs-rh-diff,0.01,1.0,2.2179,1.4526,4
obs-rh-diff,3.0,0.5,3.6108,2.4903,5
obs-rh-diff,1.0,0.5,2.5007,1.9696,5
obs-rh-diff,0.5,0.5,2.3634,1.8897,4
obs-rh-diff,0.2,0.5,2.3183,1.8613,4
obs-rh-diff,0.1,0.5,2.2947,1.8404,4
obs-rh-diff,0.05,0.5,2.2424,1.7812,4
obs-rh-diff,0.02,0.5,2.0747,1.5859,4
obs-rh-diff,0.01,0.5,1.8515,1.3599,4
obs-rh-diff,3.0,0.2,3.2599,2.2667,5
obs-rh-diff,1.0,0.2,1.8047,1.4584,5
obs-rh-diff,0.5,0.2,1.586,1.3018,4
obs-rh-diff,0.2,0.2,1.5182,1.2528,4
obs-rh-diff,0.1,0.2,1.5068,1.2441,4
obs-rh-diff,0.05,0.2,1.4987,1.2365,4
obs-rh-diff,0.02,0.2,1.4692,1.2062,4
obs-rh-diff,0.01,0.2,1.4078,1.1337,4
obs-rh-diff,3.0,0.1,3.2024,2.1847,5
obs-rh-diff,1.0,0.1,1.6627,1.3239,5
obs-rh-diff,0.5,0.1,1.4178,1.1398,4
obs-rh-diff,0.2,0.1,1.3405,1.0831,4
obs-rh-diff,0.1,0.1,1.3286,1.0743,4
obs-rh-diff,0.05,0.1,1.3239,1.07,4
obs-rh-diff,0.02,0.1,1.3116,1.0546,4
obs-rh-diff,0.01,0.1,1.285,1.0143,4
obs-p-scan,3.0,1.0,4.0339,2.4004,5
obs-p-scan,1.0,1.0,3.6811,2.2012,5
obs-p-scan,0.5,1.0,3.6404,2.185,5
obs-p-scan,0.2,1.0,3.5946,2.1537,5
obs-p-scan,0.1,1.0,3.4749,2.0799,5
obs-p-scan,0.05,1.0,3.1097,1.9284,5
obs-p-scan,0.02,1.0,2.1116,1.3136,5
obs-p-scan,0.01,1.0,1.3858,0.8125,5
obs-p-scan,3.0,0.5,3.0248,2.1832,5
obs-p-scan,1.0,0.5,2.3938,1.8748,5
obs-p-scan,0.5,0.5,2.3225,1.8255,5
obs-p-scan,0.2,0.5,2.2946,1.8044,5
obs-p-scan,0.1,0.5,2.265,1.7738,5
obs-p-scan,0.05,0.5,2.1695,1.6489,5
obs-p-scan,0.02,0.5,1.7832,1.2252,5
obs-p-scan,0.01,0.5,1.3128,0.8031,5
obs-p-scan,3.0,0.2,2.5626,1.8304,5
obs-p-scan,1.0,0.2,1.661,1.3404,5
obs-p-scan,0.5,0.2,1.5445,1.2568,5
obs-p-scan,0.2,0.2,1.5087,1.2294,5
obs-p-scan,0.1,0.2,1.4987,1.2164,5
obs-p-scan,0.05,0.2,1.4783,1.1797,5
obs-p-scan,0.02,0.2,1.3711,1.0196,5
obs-p-scan,0.01,0.2,1.1598,0.7741,5
obs-p-scan,3.0,0.1,2.4782,1.8197,5
obs-p-scan,1.0,0.1,1.5005,1.1926,5
obs-p-scan,0.5,0.1,1.3674,1.0954,5
obs-p-scan,0.2,0.1,1.3268,1.0639,5
obs-p-scan,0.1,0.1,1.318,1.0558,5
obs-p-scan,0.05,0.1,1.305,1.0362,5
obs-p-scan,0.02,0.1,1.2378,0.9163,5
obs-p-scan,0.01,0.1,1.0908,0.739,5
